nBids Const PowerSeller VerifyID Sealed Minblem MajBlem LargNeg LogBook MinBidShare
4 1 1 0 0 0 0 0 -0.7231 -0.0568
1 1 1 0 0 0 0 0 -1.0254 0.127
2 1 1 0 0 0 0 0 -1.0923 0.1758
3 1 1 0 0 0 0 0 -0.9142 0.0528
2 1 1 0 0 0 0 0 -0.9738 0.0916
0 1 1 0 0 0 0 0 2.8247 0.1635
0 1 1 0 0 0 0 0 0.0332 0.6019
3 1 1 0 0 0 0 0 -0.6398 -0.0985
5 1 1 0 0 0 1 0 -0.0767 -0.3508
4 1 0 0 0 0 0 0 0.5108 -0.4318
3 1 1 0 0 0 0 0 -0.7231 -0.0568
1 1 1 0 0 1 0 0 -1.0254 0.127
2 1 1 0 0 0 0 0 -0.9142 0.0528
6 1 0 0 0 0 0 0 0.5108 -0.4318
5 1 1 0 0 0 0 0 -0.3033 -0.264
2 1 1 0 0 0 0 0 -1.0923 0.6789
4 1 1 0 0 0 0 0 -0.4608 0.3521
2 1 1 0 0 0 0 0 -1.1506 0.7543
2 1 1 0 0 0 0 0 -1.0254 0.5976
1 1 1 0 0 0 0 0 0.5108 0.5337
0 1 1 0 0 0 0 0 0.5108 0.5347
2 1 1 0 0 0 0 0 -0.052 0.0863
0 1 1 0 0 0 0 0 0.3755 0.4629
1 1 1 0 0 1 0 0 -0.2477 0.2953
6 1 1 0 0 0 0 0 1.0758 -0.4634
9 1 0 0 0 0 0 1 1.4347 -0.5049
2 1 0 0 0 0 1 0 0.404 -0.1568
1 1 0 0 1 0 0 0 -0.3621 0.4193
4 1 0 0 1 0 0 0 -0.3621 0.4193
8 1 0 0 0 0 0 0 0.9205 -0.376
1 1 0 0 1 0 0 0 -0.3033 0.3623
6 1 0 0 0 0 0 0 0.7455 -0.3184
6 1 0 0 0 0 0 0 0.5108 -0.3627
0 1 0 0 0 0 0 0 0.0332 0.4244
3 1 0 0 0 0 0 0 -0.3621 -0.3207
4 1 0 0 0 0 0 0 -0.3621 -0.3207
4 1 0 0 0 0 0 0 -0.4574 -0.295
5 1 1 0 1 0 0 0 0.2189 -0.0726
6 1 1 0 1 0 0 0 0.8863 -0.3186
4 1 1 0 1 0 0 0 0.2189 -0.0726
5 1 1 0 1 0 0 0 -0.052 0.0845
4 1 1 0 1 0 0 0 -0.3621 0.3253
5 1 1 0 1 0 0 0 -0.3621 0.3253
5 1 1 0 1 0 0 0 -0.3033 0.2737
3 1 1 0 1 0 0 0 -0.3621 0.3253
2 1 0 0 1 0 0 0 -0.3621 0.2672
6 1 0 0 0 0 0 0 0.0332 -0.2312
5 1 0 0 0 0 0 0 -0.8141 -0.1977
4 1 0 0 0 0 0 0 1.1181 -0.5226
4 1 0 0 0 0 0 0 -0.3621 -0.3359
4 1 0 0 0 0 0 0 -1.0254 -0.1094
6 1 0 0 0 0 1 0 0.3755 -0.1754
4 1 1 0 0 0 0 0 -0.052 -0.1332
7 1 0 0 0 0 0 0 0.9205 -0.4436
6 1 0 0 0 0 0 0 0.404 -0.1551
4 1 1 0 0 0 0 0 0.3295 -0.1558
6 1 0 0 0 0 0 1 0.5108 -0.383
1 1 0 0 0 0 0 0 -0.2477 0.6061
1 1 1 0 0 0 0 0 0.0332 0.6019
7 1 0 0 0 0 0 1 0.5108 -0.383
0 1 0 0 0 0 0 1 -0.3621 0.7544
0 1 1 0 0 0 0 0 0.0332 0.2382
5 1 0 0 0 0 0 1 0.6073 -0.4009
7 1 0 0 0 0 0 0 0.5108 -0.4514
6 1 1 0 0 0 0 0 -0.2237 -0.2616
4 1 1 0 0 0 0 0 -0.052 -0.3651
3 1 0 0 0 0 0 0 -1.0254 0.2435
6 1 0 0 0 0 0 0 0.5108 -0.2045
0 1 0 0 0 0 0 0 0.404 0.5885
4 1 1 0 0 0 0 0 -0.5628 -0.171
1 1 1 0 0 0 0 0 -1.0923 0.6789
2 1 1 0 0 0 0 0 -0.7231 0.291
4 1 1 0 0 0 0 0 -0.3621 -0.245
2 1 1 0 0 0 0 0 -1.0254 0.5976
1 1 1 0 0 0 0 0 0.4852 0.0769
2 1 1 0 0 0 0 0 -0.3033 0.4337
2 1 1 0 0 0 0 0 0.674 0.104
3 1 1 0 0 0 0 0 0.674 0.0503
2 1 1 0 0 0 0 0 1.1181 0.1699
5 1 0 0 0 0 0 1 0.5108 -0.383
0 1 1 1 0 0 0 0 0.1487 0.4732
7 1 0 0 0 0 0 0 0.7455 -0.4578
6 1 0 0 0 0 0 1 0.6073 -0.4009
3 1 0 0 0 0 0 0 0.5108 -0.0308
2 1 0 0 0 0 0 0 0.0332 0.0035
8 1 0 0 0 0 0 1 0.9205 -0.4484
5 1 0 0 0 0 0 0 0.9205 0.1215
4 1 0 0 0 0 0 0 1.0758 -0.0511
0 1 1 0 0 0 0 0 0.0332 0.2586
6 1 0 0 0 0 0 0 0.1487 -0.033
4 1 0 0 0 0 0 1 1.9993 -0.5337
2 1 1 0 0 0 0 0 -0.7231 -0.0568
2 1 0 0 0 0 0 0 -1.0254 0.2435
2 1 1 0 0 0 0 0 -0.8141 -0.0072
3 1 1 0 0 0 0 0 -0.9738 0.0916
2 1 1 0 0 1 0 0 -1.0923 0.1758
2 1 0 0 0 0 0 0 -1.0254 0.0282
12 1 1 0 0 0 0 0 -0.3621 -0.3668
0 1 0 0 0 0 0 0 -0.9142 0.1592
4 1 0 0 0 0 0 0 0.0534 -0.2597
5 1 0 0 0 0 0 0 -0.3033 -0.1234
5 1 1 0 0 0 0 0 -0.9738 -0.1375
4 1 1 0 0 0 0 0 -0.9142 -0.1629
1 1 0 0 0 0 0 0 0.0332 0.0342
4 1 1 0 0 0 1 0 0.0332 -0.3336
3 1 1 0 0 0 1 0 0.5108 -0.4263
3 1 0 0 0 0 0 0 0.5108 -0.3498
4 1 0 0 1 0 0 0 0.8863 -0.4911
2 1 0 0 0 0 0 0 -0.3621 -0.2284
1 1 1 0 0 1 0 0 -0.3621 0.1793
6 1 0 0 0 0 0 0 1.4347 -0.2098
1 1 1 0 0 0 0 1 -1.0254 0.2388
5 1 1 0 0 0 1 0 0.5108 -0.4263
7 1 0 0 0 0 1 0 1.0758 -0.4685
0 1 1 0 0 0 0 0 0.6073 -0.1745
5 1 0 0 0 1 0 0 1.4347 -0.4673
0 1 1 1 0 0 0 0 0.0332 0.6019
6 1 0 0 0 0 0 0 1.4347 -0.4673
6 1 0 0 0 0 0 0 1.0758 -0.3653
3 1 0 0 0 0 0 0 0.3295 -0.3504
0 1 1 0 0 0 1 0 0.5108 -0.0969
2 1 1 0 0 0 0 0 0.7455 0.1651
4 1 0 0 0 0 0 0 0.0332 -0.1295
1 1 1 0 0 0 0 0 -0.9738 0.5061
1 1 1 0 0 0 0 0 -0.9142 0.4328
1 1 1 0 0 0 0 0 -0.6398 0.2463
2 1 1 0 0 0 0 0 -0.9142 0.396
3 1 0 0 0 1 0 0 0.3755 -0.2594
3 1 1 0 0 0 0 0 -0.4608 0.3521
2 1 1 0 0 0 0 0 -0.9142 0.4739
6 1 0 0 0 0 0 0 0.9205 -0.3931
4 1 1 0 0 0 0 0 -0.7231 -0.1003
3 1 1 0 0 0 0 0 -0.3033 -0.264
1 1 1 0 0 0 0 0 -1.1506 0.7543
3 1 1 0 0 0 0 0 -0.7231 0.291
2 1 1 0 0 0 0 0 -0.4608 0.0905
5 1 1 0 0 0 0 0 -0.3033 -0.3114
3 1 0 0 0 0 0 0 0.5108 -0.4767
5 1 0 0 0 0 0 0 0.0534 -0.4381
6 1 0 0 0 0 0 1 0.5108 -0.383
5 1 0 0 0 0 0 0 1.9993 -0.5435
5 1 0 0 0 0 0 0 -0.3621 -0.2177
6 1 0 0 0 0 0 0 -0.3621 -0.2177
0 1 1 0 0 1 0 0 0.2001 0.2392
5 1 1 0 0 0 1 0 0.5108 -0.4263
0 1 1 0 0 0 0 0 0.0332 0.6019
2 1 1 0 0 0 0 0 0.7365 0.4506
1 1 0 0 0 0 0 0 -1.0254 0.1211
5 1 0 0 0 0 0 0 0.5108 -0.4273
9 1 0 0 0 0 0 1 0.5108 -0.383
6 1 0 0 0 0 0 0 1.4347 -0.2098
1 1 0 0 0 1 0 0 -1.0923 0.3645
0 1 1 0 0 0 0 0 0.3295 0.4208
3 1 1 0 0 0 0 0 -0.6398 -0.0505
9 1 1 0 0 0 0 0 0.5108 -0.4557
6 1 0 0 0 0 0 0 -0.2237 -0.2352
6 1 0 0 0 0 0 1 0.9205 -0.4484
4 1 0 0 0 0 0 0 0.7365 0.2605
3 1 1 0 0 0 0 0 -0.2779 -0.2445
7 1 0 0 0 0 0 0 0.0332 -0.3732
4 1 1 0 0 0 0 0 0.1487 5e-04
5 1 1 0 0 0 0 0 -0.3621 -0.2147
5 1 1 0 0 1 0 0 0.1487 -0.421
6 1 0 0 0 0 0 1 0.404 -0.3611
6 1 1 0 0 0 0 0 0.9205 -0.5274
5 1 0 0 0 0 0 0 -0.2477 -0.362
4 1 0 0 0 0 0 0 0.0332 -0.4148
5 1 0 0 0 0 0 1 0.5108 -0.383
0 1 1 0 0 0 0 0 2.8247 0.151
0 1 1 0 0 0 0 0 0.7365 0.4506
2 1 1 0 0 0 0 0 -0.9142 0.3539
8 1 0 0 0 0 0 1 0.7455 -0.4237
3 1 1 0 0 0 0 0 -0.2477 0.0277
2 1 1 0 0 0 0 0 -1.0254 0.4988
1 1 1 0 0 0 0 0 0.5108 0.3109
4 1 1 0 0 0 1 0 0.5108 -0.4263
0 1 1 0 0 0 0 0 0.0332 0.3733
0 1 1 0 0 0 0 0 -1.0254 0.9506
9 1 0 0 0 0 0 1 1.9993 -0.5337
9 1 0 0 0 0 0 0 1.9993 -0.4466
2 1 1 0 0 0 0 0 -0.1723 0.1466
1 1 1 0 0 0 0 0 0.584 0.1906
5 1 0 0 0 0 0 0 0.2189 -0.0865
3 1 1 0 0 0 0 0 0.5108 0.1046
3 1 1 0 0 0 0 0 0.1844 0.0521
0 1 1 0 0 0 0 0 -1.0254 0.8317
4 1 1 0 0 0 1 0 0.1487 -0.3602
8 1 1 0 0 0 0 0 0.2189 -0.3763
4 1 1 0 0 0 0 0 0.5108 -0.4318
3 1 1 0 0 1 0 0 -0.9142 0.0518
6 1 1 0 0 0 0 0 -0.052 -0.3215
6 1 1 0 0 0 0 0 0.0332 -0.3424
2 1 1 0 0 0 0 0 -0.4608 0.3521
2 1 1 0 0 0 0 0 -0.2477 -0.2661
3 1 1 0 0 1 0 0 -0.9142 0.4739
2 1 1 0 0 0 0 0 -0.2779 -0.0211
3 1 1 0 0 0 0 0 -0.8141 0.3737
2 1 1 0 0 0 0 0 -0.9142 0.2634
0 1 0 0 0 0 0 0 -0.0767 0.3358
4 1 1 0 0 0 0 0 -0.9142 0.2634
6 1 1 0 0 0 0 0 -0.6398 -0.1385
2 1 1 0 0 0 0 0 -1.0254 0.3623
1 1 1 0 0 0 0 0 -1.1506 0.4876
7 1 1 0 0 0 0 0 -0.3621 -0.245
1 1 1 0 0 0 0 0 -1.0254 0.5976
3 1 1 0 0 0 0 0 -0.5628 0.3105
0 1 1 0 0 0 0 0 -0.3033 0.1646
2 1 1 0 0 0 0 0 -0.9142 0.4739
2 1 1 0 0 0 0 0 -0.6044 0.271
1 1 1 0 0 0 0 0 -0.7231 0.291
8 1 1 0 0 0 0 0 0.674 -0.4596
1 1 1 0 0 0 0 0 -0.7231 0.378
0 1 1 0 0 0 0 0 -0.6398 0.3015
4 1 1 0 0 0 0 0 0.5108 -0.4318
1 1 1 0 0 0 0 0 -1.0254 -0.5777
1 1 1 0 0 0 0 0 -0.7231 0.2041
1 1 1 0 0 0 0 0 -1.0254 0.3623
0 1 1 0 0 0 0 0 -0.2779 0.146
1 1 1 0 0 0 0 0 -1.0254 0.3623
0 1 1 0 0 0 0 0 -0.7231 0.1606
1 1 1 0 0 0 0 0 -0.8141 0.2785
1 1 1 0 0 0 0 0 -0.8141 0.3737
4 1 1 0 0 0 1 0 0.1487 -0.3602
3 1 1 0 0 0 0 0 -0.4608 0.2912
2 1 1 0 0 0 0 0 -0.9142 0.4739
4 1 0 0 0 0 0 0 0.6073 -0.0084
7 1 0 0 0 0 0 1 0.1487 -0.298
3 1 0 0 1 0 0 0 -0.3621 0.3005
1 1 1 0 0 0 0 0 -0.052 1e-04
1 1 0 0 0 1 0 0 -0.3033 0.3737
3 1 0 0 1 0 0 0 -0.3621 0.3005
4 1 0 0 0 1 0 0 0.3755 0.1441
1 1 0 0 0 0 0 0 -0.9142 0.6318
6 1 0 0 0 0 0 0 1.4347 -0.4068
2 1 0 0 0 0 0 0 -0.396 0.0179
6 1 0 0 0 0 0 0 0.9205 -0.418
10 1 1 0 0 0 0 0 1.4347 -0.3265
0 1 0 0 0 0 0 0 -0.9142 0.5265
4 1 1 0 0 0 0 0 -0.052 -0.3215
0 1 0 0 0 0 0 0 -0.2477 0.2953
3 1 0 0 0 0 0 0 0.0332 -0.1792
1 1 0 0 0 0 0 0 -0.1723 0.1491
1 1 0 0 0 0 0 0 0.5108 0.5094
3 1 0 0 0 0 0 0 -0.052 0.0845
7 1 1 0 0 0 0 0 0.5108 -0.402
4 1 0 0 0 1 0 0 0.3755 -0.3765
3 1 1 0 0 1 0 0 0.9205 -0.461
3 1 1 0 0 1 0 0 1.9993 -0.538
6 1 1 0 0 1 0 0 0.404 -0.3822
3 1 0 0 0 0 0 0 0.584 -0.2497
2 1 0 0 0 0 0 0 -0.3621 -0.3207
7 1 0 0 0 0 0 0 -0.052 -0.4555
5 1 0 0 0 0 0 1 0.5108 -0.383
3 1 1 0 0 0 0 0 -0.0767 -0.3845
1 1 1 0 0 0 0 0 -1.0254 0.5976
3 1 1 0 0 0 0 0 -0.6398 -0.1385
3 1 0 0 0 1 0 0 -0.396 0.1997
11 1 0 0 1 0 0 0 0.2189 -0.0865
2 1 1 0 0 1 0 0 -0.9142 0.4739
4 1 1 0 0 0 0 1 0.3755 -0.1157
5 1 0 0 0 1 0 1 0.3755 -0.3548
0 1 1 1 0 0 0 0 0.0332 0.6019
3 1 1 1 0 0 0 0 0.3295 0.4208
8 1 0 0 0 0 0 1 0.6073 -0.4009
8 1 0 0 0 0 0 0 0.3295 -0.3989
5 1 0 0 0 0 0 0 -0.4608 -0.1837
0 1 0 0 0 0 1 0 -0.0767 0.0806
4 1 1 0 0 0 1 0 0.1487 -0.3602
9 1 0 0 0 0 0 1 0.5108 -0.383
5 1 0 0 0 0 0 0 0.5108 -0.1984
3 1 0 0 0 1 0 0 -0.5628 -0.0229
11 1 0 0 0 0 0 0 0.9205 -0.4644
6 1 0 0 0 0 0 1 1.0758 -0.467
5 1 0 0 0 0 0 0 0.0332 -0.2536
6 1 0 0 0 0 0 0 1.4347 -0.4979
4 1 1 0 0 0 0 1 -0.4608 0.3521
2 1 1 0 0 0 0 0 -1.1506 0.7543
7 1 1 0 0 0 0 0 -0.3033 -0.264
4 1 1 0 0 0 0 0 -0.2779 -0.0211
2 1 1 0 0 0 0 0 -0.8141 0.3737
2 1 0 0 0 0 0 0 0.1117 0.0638
4 1 0 0 0 0 0 0 0.5108 -0.1473
3 1 1 0 0 0 0 0 -0.3621 -0.245
0 1 0 0 0 0 1 0 2.8247 0.1307
4 1 0 0 0 0 0 0 0.5108 -0.0207
3 1 0 0 0 0 0 0 0.3755 0.06
5 1 0 0 0 0 0 0 1.9993 -0.252
4 1 0 0 0 0 0 0 0.404 -0.0425
6 1 0 0 0 0 0 0 -0.3033 -0.264
6 1 0 0 0 0 0 0 -0.3033 -0.264
8 1 0 0 0 0 0 0 -0.3033 -0.264
2 1 0 0 0 0 0 0 -0.7231 0.1162
2 1 0 0 0 0 0 0 -0.9142 0.2623
7 1 0 0 0 0 0 0 0.5108 -0.3503
1 1 1 0 0 0 0 0 0.9205 0.2542
2 1 1 0 0 0 0 0 0.9205 0.2542
1 1 0 0 0 0 0 0 -0.2237 0.2133
2 1 0 0 0 0 0 0 0.5108 0.055
3 1 0 0 0 0 0 0 -0.8141 -0.1977
7 1 0 0 0 0 0 0 -0.1723 -0.3777
4 1 0 0 0 0 0 0 -0.1723 -0.3777
11 1 0 0 0 0 0 0 1.4144 -0.5368
3 1 1 0 1 0 0 0 -0.3621 0.3253
3 1 1 0 1 0 0 0 -0.3033 0.2737
2 1 1 0 1 0 0 0 -0.3621 0.3253
0 1 0 0 0 1 0 1 0.6073 0.3637
0 1 0 0 0 0 0 0 -0.8141 0.369
6 1 0 0 0 1 0 0 0.3755 -0.2594
5 1 0 0 0 1 0 0 1.9993 -0.5149
5 1 0 0 0 0 0 0 1.9993 -0.5435
4 1 1 0 1 0 0 0 -0.3621 -0.2892
1 1 1 0 0 0 0 0 -0.9738 0.5385
5 1 1 0 0 0 0 0 -0.4574 -0.2117
6 1 1 0 0 0 0 0 0.4852 -0.4351
5 1 1 0 0 0 0 0 -0.5628 -0.171
6 1 1 0 0 0 0 0 -0.6044 -0.1537
6 1 1 0 0 0 0 0 -0.3621 -0.245
5 1 1 0 0 0 0 0 0.5108 -0.4387
7 1 0 0 1 0 0 0 1.0758 -0.4948
0 1 0 0 0 0 0 1 0.5108 0.5046
2 1 0 0 0 0 0 0 0.5108 0.2056
2 1 1 0 0 0 0 0 -0.9142 0.7659
0 1 1 0 0 0 0 0 -1.1506 1.1241
1 1 1 0 0 0 0 0 -0.5628 0.6641
1 1 1 0 0 0 0 0 -0.7231 0.7931
1 1 1 0 0 0 0 0 -1.0254 1.0416
1 1 1 0 0 0 0 0 -0.9142 0.9764
0 1 1 0 0 0 0 0 -0.8141 0.8284
1 1 1 0 0 0 0 0 -0.7231 0.5322
2 1 1 0 0 0 0 0 -1.0254 0.9239
0 1 1 0 0 0 0 0 -0.4608 0.6105
2 1 1 0 0 0 0 0 -0.7231 0.7061
0 1 1 0 0 0 0 0 -0.8141 0.7331
0 1 1 0 0 0 0 0 -0.3033 0.4374
1 1 1 0 0 0 0 0 -0.2779 0.4119
1 1 1 0 0 0 0 0 -1.0254 1.0416
5 1 1 0 0 0 0 0 -0.052 -0.1332
2 1 0 0 0 1 0 0 -0.052 0.0663
3 1 0 0 1 0 0 0 -0.3621 0.3005
2 1 0 0 0 0 0 0 -0.396 0.0179
0 1 0 0 0 0 0 0 -0.3621 0.5072
1 1 0 0 0 0 0 0 -0.3033 0.4452
0 1 0 0 0 0 0 0 -0.3621 0.5072
0 1 0 0 0 0 0 0 -0.3621 0.5072
0 1 0 0 0 0 0 0 -0.052 0.2179
2 1 0 0 0 0 0 0 0.2189 0.0291
3 1 0 0 1 0 0 0 -0.3621 0.3005
1 1 0 0 1 0 0 0 -0.3621 0.3005
5 1 0 0 0 0 0 0 -0.2477 -0.2566
1 1 0 0 0 0 0 0 -0.9142 0.6318
0 1 0 0 0 0 0 0 -0.9142 0.5265
0 1 1 0 0 0 0 0 -0.9142 0.5781
4 1 0 0 1 0 0 0 -0.3621 -0.3056
2 1 1 0 0 0 0 0 -0.4574 0.221
1 1 1 0 0 0 0 0 -0.9142 0.6834
3 1 1 0 0 0 0 0 -0.9142 0.5781
6 1 1 0 0 0 0 0 0.8863 -0.5431
4 1 1 0 0 0 0 0 0.7455 -0.4187
3 1 1 0 0 0 0 0 0.1117 -0.2781
5 1 1 0 0 0 0 0 0.5108 -0.3767
8 1 1 0 0 1 0 0 1.4347 -0.4979
6 1 0 0 0 0 0 0 -0.4608 -0.1837
7 1 0 0 0 0 1 0 0.3755 -0.1754
2 1 0 0 0 0 0 0 0.5108 0.1765
4 1 1 1 1 0 0 0 -0.3033 -0.236
5 1 0 0 0 0 0 0 0.1844 -0.4205
11 1 0 0 1 0 0 0 0.2189 -0.3577
1 1 1 0 0 0 0 1 0.0332 0.3733
1 1 1 0 0 0 0 1 -0.2477 0.0277
2 1 0 1 0 1 0 0 0.0534 0.0023
2 1 1 0 0 0 0 1 -0.4608 0.3521
8 1 0 0 1 0 0 0 0.2189 -0.3577
3 1 1 0 0 1 0 0 -1.0254 0.127
2 1 1 0 0 0 0 0 -1.1506 0.7543
5 1 1 0 0 0 0 0 -0.4574 -0.2117
0 1 1 0 0 0 0 1 0.5108 0.3869
4 1 1 0 0 0 0 0 -0.3033 -0.264
1 1 1 0 0 0 0 1 -0.9142 0.4802
6 1 1 0 0 0 0 0 -0.2237 -0.288
2 1 1 0 0 1 0 0 -0.9142 0.4739
0 1 1 0 0 0 0 1 -1.0254 0.4988
0 1 1 0 0 0 0 0 -1.0254 0.5976
1 1 1 0 0 0 0 0 -0.9142 0.4739
6 1 1 0 1 0 0 0 -0.3621 -0.2892
4 1 1 0 0 0 0 0 0.584 -0.2485
3 1 0 0 0 0 0 0 1.4347 -0.5125
5 1 1 0 0 0 0 0 0.5108 -0.2235
6 1 0 0 0 0 0 0 0.6073 -0.4285
3 1 0 0 0 0 0 0 -0.3621 -0.2759
5 1 0 0 0 0 0 0 1.0758 -0.3187
2 1 0 0 0 0 1 0 -0.0767 0.0806
3 1 1 0 0 0 0 0 0.2189 -0.5102
4 1 0 0 0 0 0 0 -0.1723 -0.3777
6 1 0 0 0 0 0 0 -0.1723 -0.3777
4 1 0 0 0 0 0 1 0.0332 -0.2638
2 1 1 0 0 0 0 0 0.3755 0.289
5 1 0 0 0 0 0 0 0.584 -0.2497
0 1 1 0 0 0 0 0 -0.8141 0.3737
2 1 1 0 0 1 0 0 0.9205 -0.3098
7 1 0 0 0 0 0 0 0.5108 -0.4071
2 1 1 0 0 0 0 1 0.0332 0.3733
1 1 1 0 0 0 0 0 0.3295 0.5285
0 1 1 0 0 1 0 0 -0.9738 0.6447
6 1 1 0 0 0 0 0 -0.3033 -0.264
0 1 1 0 0 1 0 0 -0.9142 0.5739
10 1 1 0 0 0 0 0 0.3157 -0.3703
0 1 1 1 0 0 0 0 0.3755 -0.4722
4 1 1 0 1 0 0 0 -0.052 0.0845
3 1 1 0 1 0 0 0 -0.3621 0.3253
2 1 1 0 1 0 0 0 -0.3621 0.3253
2 1 1 0 1 0 0 0 -0.3033 0.2737
3 1 1 0 1 0 0 0 -0.3621 0.3253
0 1 1 0 0 0 0 0 -1.0254 0.3623
2 1 0 0 0 0 0 0 0.5108 0.1252
5 1 0 0 0 0 0 0 0.7455 -0.4588
7 1 1 0 0 0 0 0 0.1487 -0.214
4 1 0 0 0 0 0 0 0.8863 -0.5085
5 1 1 0 0 0 0 0 0.0332 -0.1695
5 1 1 0 0 0 0 0 0.1117 -0.2003
3 1 0 0 0 0 0 0 0.0332 -0.3352
3 1 0 0 0 0 1 0 -0.2477 -0.2566
0 1 0 0 0 0 1 0 0.5108 0.259
3 1 0 0 0 1 0 0 -0.6044 -0.1962
5 1 1 0 0 0 0 0 0.3295 -0.4105
4 1 1 0 0 0 0 0 0.1487 -0.3253
5 1 0 0 0 1 0 0 0.9205 -0.33
6 1 1 0 0 0 1 0 -0.3033 -0.2234
3 1 1 0 0 0 1 0 -0.9738 0.1151
4 1 1 0 0 0 1 0 -0.9142 0.0749
1 1 1 0 0 0 1 0 -1.0923 0.2022
3 1 1 0 0 0 1 0 -0.6398 -0.0817
5 1 0 0 0 0 0 0 1.0758 -0.3584
4 1 0 0 0 0 0 0 0.5108 -0.4767
5 1 1 0 1 0 0 0 -0.3621 -0.0359
4 1 1 0 1 0 0 0 0.2189 -0.0726
5 1 1 0 0 0 0 0 -0.3033 -0.264
4 1 1 0 0 0 0 0 0.3157 -0.4088
1 1 1 0 0 1 0 0 -0.9142 0.4739
8 1 0 0 0 0 1 0 1.9993 -0.4921
8 1 0 0 0 0 0 0 -0.3621 -0.3207
5 1 0 0 0 0 0 0 0.3755 -0.1754
0 1 1 0 0 0 0 0 0.5108 0.8375
3 1 0 0 0 0 0 0 -0.396 -0.1394
6 1 0 0 0 0 0 0 0.8863 -0.4561
8 1 1 0 0 0 0 0 -0.3621 -0.3668
6 1 0 0 0 0 0 0 0.8863 -0.4561
7 1 0 0 0 0 0 0 0.5108 -0.4007
4 1 0 0 0 0 0 0 0.0534 -0.2981
0 1 1 1 0 0 0 0 0.7365 0.4506
7 1 0 0 0 0 0 0 0.7455 -0.4377
2 1 0 0 0 0 0 0 -0.8141 0.3737
5 1 0 0 0 0 0 0 -0.052 -0.267
3 1 0 0 0 0 0 0 -1.0254 0.5976
